"STUDYID","TREATMENT_GROUP","patient_n","baseline_mean","baseline_std","endpoint_mean","endpoint_std"
"11984A","duloxetine",157,3.52866242038217,0.851548435424311,1.43312101910828,1.25204389489653
"11984A","placebo",152,3.5,0.884000539390324,1.88157894736842,1.36626435403869
"11984A","vortioxetine",467,3.53319057815846,0.799994026316946,1.56745182012848,1.25042934057221
"12541A","duloxetine",160,3.40625,0.746453880843562,1.3625,1.27623414188215
"12541A","placebo",153,3.37254901960784,0.759868002224698,2.13725490196078,1.41448718403811
"12541A","vortioxetine",172,3.43604651162791,0.742591131422462,1.50581395348837,1.3089752834449
"13267A","duloxetine",161,3.54037267080745,0.758236348540775,1.1055900621118,1.11019415234481
"13267A","placebo",178,3.55056179775281,0.766697164046667,2.17415730337079,1.36046087985812
"13267A","vortioxetine",375,3.59733333333333,0.784538648675511,1.584,1.22048469375922
"14122A","placebo",209,3.46411483253589,0.814474999746236,2.27272727272727,1.354221578589
"14122A","vortioxetine",419,3.57517899761336,0.739167159641696,1.70883054892601,1.3055616465125
"29060/001","paroxetine",25,3.72,0.458257569495584,1.88,1.36381816969859
"29060/001","placebo",25,3.68,0.627162924074226,2.24,1.16476034731041
"29060/002","paroxetine",170,3.14117647058824,0.956484455206962,1.59411764705882,1.25220307077405
"29060/002","placebo",171,3.25146198830409,0.881800079059287,2.15789473684211,1.35198512458155
"29060/003","paroxetine",241,3.65560165975104,0.775711871335335,2.0207468879668,1.33681254226887
"29060/003","placebo",244,3.69672131147541,0.835324478117027,2.49590163934426,1.35324013186237
"29060/007","amitriptyline",13,3.53846153846154,0.967417922046845,1.69230769230769,0.947330933431342
"29060/007","paroxetine",13,3.69230769230769,0.85485041426511,1.84615384615385,1.90814717488606
"29060/007","placebo",12,3.58333333333333,0.792961461098759,1.75,1.28805702866407
"29060/009","paroxetine",316,3.17721518987342,1.05119123562926,1.39556962025316,1.15683448414588
"29060/009","placebo",53,3,1.01904933073014,1.45283018867925,1.16958305746188
"29060/785","citalopram",207,3.60869565217391,0.834057656228299,1.66183574879227,1.23525969600724
"29060/785","paroxetine",199,3.67336683417085,0.796991959140666,1.79396984924623,1.33815937927396
"29060/785","placebo",105,3.58095238095238,0.852382998749257,1.92380952380952,1.26867009483309
"89303","citalopram",134,3.50746268656716,1.06725893481178,1.2910447761194,1.21286727243191
"89303","placebo",66,3.5,1.33877096334948,1.42424242424242,1.20333646500829
"89306","citalopram",185,3.26486486486486,1.17033445057576,1.41621621621622,1.30415588090233
"89306","placebo",88,3.26136363636364,0.976674138080773,1.67045454545455,1.49113542258403
"91206","citalopram",521,3.29174664107486,1.02249178156996,1.64299424184261,1.36409798950324
"91206","placebo",129,3.32558139534884,1.04704040258777,1.89922480620155,1.33372692834022
"99001","escitalopram",188,3.24468085106383,0.897842574159637,1.47340425531915,1.26420701038852
"99001","placebo",189,3.1957671957672,0.89845201909745,1.68783068783069,1.24751244095193
"99003","citalopram",159,3.15094339622642,0.835817489959722,1.49685534591195,1.14114207635878
"99003","escitalopram",155,3.16129032258065,0.793511601628311,1.41290322580645,1.16098422628855
"99003","placebo",154,3.14935064935065,0.853921882916557,1.66233766233766,1.27940334960894
