Author (Year),Country,Sponsor,Arms (in LSR),Setting,Condition,Treatment duration,Intervention group,Participants (n),Females (n),Age (mean),Age (SD) or range (specified),Dosage fixed or flexible,Intervention format,Planned dosage range (min-max mg/day),Delivered dosage range (min-max mg/day),Delivered dosage (mean mg/day)
A multicentre comparative... (1994),UK,NI,2,NI,Major depressive episode,6 weeks,Placebo,54,NI,NI,NI,Fixed,Oral,NI,NI,NI
.,.,.,.,.,.,.,Moclobemide,56,NI,NI,NI,Fixed,Oral,450mg,450mg,NI
Agosti (1991),USA,NI,3,Secondary/Tertiary Care,Non melancholic chro*c depression,6 weeks,Phenelzine,10,NI,NI,NI,Flexible,Oral,60mg to 90mg,NI,NI
NI,NI,NI,NI,NI,NI,NI,Placebo,23,NI,NI,NI,Flexible,Oral,NI,NI,NI
.,.,.,.,.,.,.,Selegiline (L-deprenyl),12,NI,NI,NI,Fixed,Oral,40mg,40mg,NI
Amsterdam (1989),USA,Sanofi Research (partial grant),5,NI,Major depression,4 weeks,Minaprine 100mg,34,12,41,12,Flexible,Oral,100mg to 400mg,NI,93mg
.,.,.,.,.,.,.,Minaprine 200mg,39,25,37,13,Flexible,Oral,100mg to 400mg,NI,186mg
.,.,.,.,.,.,.,Minaprine 300mg,43,22,40,12,Flexible,Oral,100mg to 400mg,NI,279mg
.,.,.,.,.,.,.,Minaprine 400mg,37,22,37,13,Flexible,Oral,100mg to 400mg,NI,352mg
.,.,.,.,.,.,.,Placebo,37,18,39,13,NI,Oral,NI,NI,NI
Amsterdam (2003),USA,"Somerset Pharmaceuticals, Inc.",2,Secondary/Tertiary Care,"Major depressive disorder, single or recurrent episode",8 weeks,Selegiline,149,94,41.2,11.6,Fixed,Transdermal,20mg,20mg,NI
.,.,.,.,.,.,.,Placebo,152,99,43.5,10,Fixed,Transdermal,NI,NI,NI
Bakish (1992),Canada,NI,2,NI,Major depressive episode,6 weeks,Moclobemide,58,26,42,10.9,Flexible,Oral,* to 600mg,* to 600mg,492mg
.,.,.,.,.,.,.,Placebo,56,20,44,10.7,Flexible,Oral,NI,NI,NI
Bellak (1966),USA,*MH,2,Secondary/Tertiary Care,Depression,4 weeks,Placebo,25,NI,NI,NI,NI,NI,NI,NI,NI
.,.,.,.,.,.,.,Phenelzine,25,NI,NI,NI,NI,NI,NI,NI,NI
Benes (2011),Germany,GSK,2,NI,At least mild depressive symptoms,12 weeks,Placebo,67,45,59.5,11.3,"Flexible to week 7, then fixed",Oral,NI,NI,NI
.,.,.,.,.,.,.,Ropi*role,198,144,58.2,11.4,"Flexible to week 7, then fixed",Oral,0.5 mg to 4 mg,NI,1.9 mg
Bodkin (2002),NI,Somerset Pharmaceuticals,2,Secondary/Tertiary Care,"Major depressive disorder, single or recurrent episode",6 weeks,Placebo,88,53,43.2,10.8,Fixed,Transdermal,NI,NI,NI
.,.,.,.,.,.,.,Selegiline,89,53,41.4,10.9,Fixed,Transdermal,20mg,20mg,20mg
Botte (1992),NI,NI,2,NI,"U*polar depression, neurotic depression",6 weeks,Placebo,24,16,43.33,9.9,NI,NI,NI,NI,NI
.,.,.,.,.,.,.,Moclobemide,23,13,51.39,12.69,Flexible,Oral,300mg to 600mg,200mg to 600mg,NI
Casacchia (1984),Italy,NI,2,Secondary/Tertiary Care,"U*polar psychotic depression, neurotic depression",4 weeks,Moclobemide,18,8,49.5,12.8,Flexible,Oral,NI,150mg to 450mg,297.2mg
.,.,.,.,.,.,.,Placebo,16,11,49,11.4,Flexible,Oral,NI,150mg to 400mg,212.5mg
Chouinard (1993),"Canada, UK",NI,2,Secondary/Tertiary Care,Major depressive episode,6 weeks,Placebo,109,66,40.200000000000003,18-64 (range),Fixed,Oral,NI,NI,NI
.,.,.,.,.,.,.,Brofaromine,111,57,41.2,18-64 (range),Fixed,Oral,75mg to 150mg,NI,NI
Coleman (1999),USA,Glaxo Wellcome Inc.,2,NI,Moderate to severe depression,8 weeks,Placebo,124,73,38.5,18-65 (range),Flexible,Oral,NI,NI,NI
.,.,.,.,.,.,.,Bupropion SR,122,68,38.1,18-64 (range),Flexible,Oral,150mg to 400mg,100mg to 365mg,290mg
Coleman (1999),USA,Glaxo Wellcome Inc.,2,NI,Moderate to severe depression,8 weeks,Placebo,152,92,36.700000000000003,19-62 (range),Flexible,Oral,NI,NI,NI
.,.,.,.,.,.,.,Bupropion,150,95,36.6,18-67 (range),Flexible,Oral,150mg to 400mg,NI,NI
Corrigan (2000),USA,NI,4,NI,"Major depression, single episode or recurrent episode",8 weeks,Placebo,35,NI,NI,NI,Fixed,Oral,NI,NI,NI
.,.,.,.,.,.,.,Pramipexole 0.375mg,36,NI,NI,NI,Fixed,Oral,0.375mg,0.375mg,0.375mg
.,.,.,.,.,.,.,Pramipexole 1mg,35,NI,NI,NI,Fixed,Oral,1mg,1mg,1mg
.,.,.,.,.,.,.,Pramipexole 5mg,33,NI,NI,NI,Fixed,Oral,5mg,5mg,5mg
Croft (1999),NI,Glaxo Wellcome Inc.,2,NI,Moderate to severe depression,8 weeks,Placebo,121,61,37.4,19-64 (range),Flexible,Oral,NI,NI,NI
.,.,.,.,.,.,.,Bupropion SR,120,61,35.9,19-70 (range),Flexible,Oral,150mg to 400mg,127mg to 361mg,293mg
Davidson (1988),NI,Hoffmann La Roche,2,NI,Major or minor depression,6 weeks,Isocarboxazid,68,37,41.9,NI,Flexible,Oral,NI,NI,49.3mg
.,.,.,.,.,.,.,Placebo,62,35,41.9,NI,Flexible,Oral,NI,NI,NI
DelBello (2014),USA,"Somerset Pharmaceutical, Inc.",2,Secondary/Tertiary Care,Moderate or severe Major Depressive Disorder,8 weeks,Placebo,156,104,14.7,1.6,Flexible,Transdermal,NI,NI,NI
.,.,.,.,.,.,12 weeks,Selegiline,152,93,14.8,1.62,Flexible,Transdermal,6mg to 12mg,NI,NI
Feiger (2006),USA,"Somerset Pharmaceutical, Inc.",2,NI,Moderate or severe Major Depressive Disorder,8 weeks,Selegiline,132,81,42,NI,Flexible,Transdermal,6mg to 12mg,6mg to 12mg,NI
.,.,.,.,.,.,.,Placebo,133,71,42,NI,Flexible,Transdermal,NI,NI,NI
Feighner (1984),NI,NI,2,Secondary/Tertiary Care,Major depressive disorder,4 weeks,Placebo,22,19,49,22-78 (range),NI,Oral,NI,NI,NI
.,.,.,.,.,.,.,Bupropion,44,30,43.9,20-70 (range),Flexible,Oral,* to 600mg,300mg to 600mg,392mg
Georgotas (1986),USA,*MH,2,NI,Major depressive disorder,7 weeks,Placebo,28,15,64.7,7.6,Flexible,Oral,NI,NI,NI
.,.,.,.,.,.,.,Phenelzine,22,13,65.5,4.4000000000000004,Flexible,Oral,NI,NI,53.90mg
Giller (1982),USA,"*MH, Hoffman-LaRoche",2,Secondary/Tertiary Care,Depression,6 weeks,Placebo,NI,NI,NI,NI,Flexible,Oral,NI,NI,73mg
.,.,.,.,.,.,.,Isocarboxazid,NI,NI,NI,NI,Flexible,Oral,NI,NI,48mg
GlaxoSmithKline (1980),USA,GSK,3,Commu*ty,Major depressive disorder,6 weeks,Bupropion 150-450mg,52,35,36.4,21-67 (range),Flexible,Oral,150mg to 450mg,NI,NI
.,.,.,.,.,.,.,Bupropion 300-900mg,23,13,37.799999999999997,21-62 (range),Flexible,NI,300mg to 900mg,NI,NI
.,.,.,.,.,.,.,Placebo,47,31,37.4,21-60 (range),Flexible,Oral,NI,NI,NI
GlaxoSmithKline (1985),"USA, Canada",GSK,3,Secondary/Tertiary Care,Depressive disorder,4 weeks,Placebo,43,20,51.9,25-78 (range),Fixed,Oral,NI,NI,NI
.,.,.,.,.,.,.,Bupropion 300mg,45,18,52.4,26-80 (range),Fixed,Oral,300mg,300mg,NI
.,.,.,.,.,.,.,Bupropion 450mg,40,18,47.5,20-73 (range),Fixed,Oral,450mg,450mg,NI
GlaxoSmithKline (1993),USA,GSK,5,NI,NI,8 weeks,Placebo,124,80,40.700000000000003,11.6,NI,NI,NI,NI,NI
.,.,.,.,.,.,.,Bupropion SR 100mg,119,77,39.6,11.9,Fixed,NI,100mg,NI,NI
.,.,.,.,.,.,.,Bupropion SR 200mg,120,65,39.6,10.4,Fixed,NI,200mg,NI,NI
.,.,.,.,.,.,.,Bupropion SR 300mg,120,70,39.9,11.4,Fixed,NI,300mg,NI,NI
.,.,.,.,.,.,.,Bupropion SR 400mg,119,66,38.799999999999997,11.7,Fixed,NI,400mg,NI,NI
GlaxoSmithKline (1994),USA,GSK,3,Secondary/Tertiary Care,Major depressive disorder,8 weeks,Bupropion 50-150,152,90,39.1,12.2,Flexible,Oral,50mg to 150mg,50mg to 150mg,NI
.,.,.,.,.,.,.,Placebo,154,99,38.200000000000003,11.4,NI,Oral,NI,NI,NI
.,.,.,.,.,.,.,Bupropion 100-300,150,98,37.200000000000003,11.3,Flexible,Oral,100mg to 300mg,100mg to 300mg,NI
Han (2012),South Korea,Korea Research Foundation Grant,2,Commu*ty,MDD and problematic online game play,8 weeks,Placebo,28,0,18.100000000000001,6.2,NI,NI,NI,NI,NI
.,.,.,.,.,.,.,Bupropion,29,0,21.2,8,Fixed,Oral,150mg to 300mg,NI,NI
Iosifescu (2022),USA,Xsome Therapeutics,2,NI,Major depressive disorder,6 weeks,Dextromethorphan- Bupropion,156,95,42.1,12.8,NI,Oral,45mg to 105mg,NI,NI
.,.,.,.,.,.,.,Placebo,162,117,41.2,13.77,NI,Oral,NI,NI,NI
Jarrett (1999),NI,NI,2,Commu*ty,"Major depressive disorder, atypical features",8.8 weeks,Phenelzine,36,25,38.700000000000003,9.7799999999999994,NI,NI,0.85mg/kg to 1mg/kg,NI,64mg
.,.,.,.,.,.,10 weeks,Placebo,36,22,40.299999999999997,10.08,NI,NI,NI,NI,NI
Kusalic (1993),NI,NI,2,NI,Major depressive episode,6 weeks,Placebo,9,NI,NI,NI,Flexible,Oral,NI,NI,NI
.,.,.,.,.,.,.,Moclobemide,11,NI,NI,NI,Flexible,Oral,NI,NI,482.60mg
Larsen (1989),Denmark,NI,2,Secondary/Tertiary Care,Major depressive episode,6 weeks,Placebo,18,12,57,25-76 (range),Flexible,Oral,NI,NI,NI
.,.,.,.,.,.,.,Moclobemide,22,15,51,28-70 (range),Flexible,Oral,* to 300mg,* to 300mg,NI
Learned (2012a),"Australia, Belgium, Bulgaria, Canada, Esto*a, Finland, France, Germany, India, Poland, Slovakia, and South Africa",GSK,2,NI,Major depressive disorder,10 weeks,Placebo,126,46,41.9,11.79,Fixed,Oral,NI,NI,NI
.,.,.,.,.,.,.,GSK372475,134,51,43,12.07,Fixed,Oral,1.5mg to 2mg,1mg to 2mg,NI
Learned (2012b),"Bulgaria, Canada, Chile, Costa Rica, Croatia, France, Germany, India, Italy, and Poland",GSK,2,NI,Major depressive disorder,10 weeks,Placebo,156,39,41.8,10.89,Fixed,Oral,NI,NI,NI
.,.,.,.,.,.,.,GSK372475,171,54,42.4,11.64,Fixed,Oral,1mg to 1.5mg,1mg to 1.5mg,NI
Liebowitz (1984),NI,Public Health Service,2,Commu*ty,Atypical depression,6 weeks,Placebo,24,14,37.700000000000003,8.9,Flexible,Oral,NI,NI,NI
.,.,.,.,.,.,.,Phenelzine,15,7,33.799999999999997,9.3000000000000007,Flexible,Oral,15mg to 90mg,60mg to 90mg,74mg
Mann (1989),USA,Irma Hirschl and Mallinckrodt Foundations,2,Secondary/Tertiary Care,Major depressive episode,6 weeks,Placebo,22,17,40.200000000000003,10.7,Flexible,NI,NI,NI,NI
.,.,.,.,.,.,.,Selegiline,22,16,45.2,12.3,Flexible,Oral,NI,* to 50mg,NI
Nair (1995),"Canada, Denmark, UK",NI,2,Secondary/Tertiary Care,Major depressive episode,7 weeks,Moclobemide,36,25,67 (median),60-90 (range),Fixed,Oral,400mg,400mg,NI
.,.,.,.,.,.,.,Placebo,35,25,71 (median),62-89  (range),Fixed,Oral,NI,NI,NI
Ose (1992),NI,NI,2,NI,Major depressive episode,4 weeks,Moclobemide,35,21,49 (median),24-79 (range),Fixed,Oral,300mg to 500mg,300mg to 500mg,NI
.,.,.,.,.,.,.,Placebo,33,18,50 (median),30-72 (range),Fixed,Oral,NI,NI,NI
Parnetti (1993),Italy,Gruppo Sanofi,2,Secondary/Tertiary Care,Prolonged depressive reaction,12 weeks,Minapramine,63,36,71.599999999999994,6.5,Fixed,Oral,200mg,200mg,200mg
.,.,.,.,.,.,.,Placebo,67,47,71.3,6.6,Fixed,Oral,NI,NI,NI
Quitkin (1990),USA,*MH; NHCRC,2,NI,"Major, minor, or intermittent depression",6 weeks,Phenelzine,33,NI,38.9,NI,Fixed,Oral,90mg,45mg to 90mg,NI
.,.,.,.,.,.,.,Placebo,34,NI,30.1,NI,Fixed,Oral,NI,NI,NI
Raft (1981),USA,*H,2,Secondary/Tertiary Care,Depression,5 weeks,Phenelzine,NI,NI,NI,NI,Fixed,Oral,90mg,30mg to 90mg,90mg
.,.,.,.,.,.,.,Placebo,NI,NI,NI,NI,Fixed,Oral,NI,NI,NI
Rampello (1991),Italy,NI,2,Secondary/Tertiary Care,Primary major u*polar depression or bipolar affective disorder depressed,6 weeks,Minaprine,10,NI,NI,NI,Fixed,Oral,100mg,100mg to 200mg,NI
.,.,.,.,.,.,.,Placebo,10,NI,NI,NI,Fixed,Oral,NI,NI,NI
Raskin (1972),USA,*MH,2,Secondary/Tertiary Care,Depression,5 weeks,Placebo,111,NI,NI,NI,Fixed,Oral,NI,NI,NI
.,.,.,.,.,.,.,Phenelzine,110,72,37 (median),NI,Fixed,Oral,45mg,22.5mg to 45mg,NI
Ravaris (1976),NI,Public Health Service; Warner Lambert Research Institute,3,Primary care,Depression,6 weeks,Phenelzine 60mg,21,NI,43.1,15.12,NI,Oral,60mg,60mg,NI
.,.,.,.,.,.,.,Phenelzine 30mg,21,NI,41.2,16.5,Fixed,Oral,30mg,30mg,NI
.,.,.,.,.,.,.,Placebo,21,NI,38.9,10.1,Fixed,Oral,NI,NI,NI
Reimherr (1998),USA,Glaxo Wellcome Inc.,3,NI,Major depression,8 weeks,Placebo,121,69,40.200000000000003,12.2,Fixed,Oral,NI,NI,NI
.,.,.,.,.,.,.,Bupropion SR 150mg,121,86,38.299999999999997,11,Fixed,Oral,150mg,150mg,NI
.,.,.,.,.,.,.,Bupropion SR 300mg,120,92,38.6,10.7,Fixed,Oral,300mg,300mg,NI
Rickels (1970),USA,Public Health Service,2,"Commu*ty, Primary care, Secondary/Tertiary Care",Moderate depression,4 weeks,Methylphe*date,NI,NI,NI,NI,Fixed,Oral,15mg,15mg,NI
.,.,.,.,.,.,.,Placebo,NI,NI,NI,NI,Fixed,Oral,NI,NI,NI
Riesenberg (2010),USA,Rexahn Pharmaceuticals,4,NI,Major depression,8 weeks,Placebo,21,11,42.5,10.8,Fixed,Oral,NI,NI,NI
