"","Group.1","TE","LCI","UCI","seTE"
"1","agomelatine",-0.0507948579044006,-0.185569048606921,0.0839793327981194,0.0687636057425553
"2","amitriptyline",-0.0871432030984313,-0.775045009062611,0.600758602865749,0.350976758445697
"3","bupropion",-0.122357977134139,-0.248748438116335,0.00403248384805671,0.0644861140200268
"4","citalopram",-0.160996064930354,-0.276125328772025,-0.0458668010886819,0.0587404996978498
"5","desipramine",-0.148902424918972,-0.498465153044591,0.200660303206647,0.178351607928985
"6","duloxetine",-0.398343249599594,-0.47955346338229,-0.317133035816898,0.0414345439116596
"7","escitalopram",-0.207025902247164,-0.38658305911322,-0.0274687453811092,0.0916124777201924
"8","fluoxetine",-0.28409690542934,-0.456995592228006,-0.111198218630673,0.0882152366892807
"9","paroxetine",-0.318742958693288,-0.405366142644944,-0.232119774741632,0.0441963141337946
"10","placebo",0,0,0,0
"11","reboxetine",-0.388005726384668,-0.740570881524611,-0.0354405712447259,0.179883486595127
"12","trazodone",-0.108937295832294,-0.364227252333109,0.146352660668522,0.130252371224425
"13","venlafaxine",-0.297258441707505,-0.468231606737483,-0.126285276677527,0.0872328095712943
"14","vortioxetine",-0.306239712056323,-0.419657767651517,-0.19282165646113,0.0578674182228963
