"","Group.1","TE","LCI","UCI","seTE"
"1","agomelatine",0.110201207025953,-0.064792508817203,0.285194922869109,0.0892841487004272
"2","amitriptyline",0.0738528618319223,-0.622800971206683,0.770506694870527,0.355442160434437
"3","bupropion",0.0386380877962143,-0.132334334070933,0.209610509663362,0.0872324303996178
"4","citalopram",0,0,0,0
"5","desipramine",0.0120936400113818,-0.355948635626072,0.380135915648836,0.187780121747402
"6","duloxetine",-0.237347184669241,-0.376582423830394,-0.0981119455080872,0.071039692698143
"7","escitalopram",-0.0460298373168109,-0.241533050839703,0.149473376206081,0.0997483704113936
"8","fluoxetine",-0.123100840498986,-0.330056562878705,0.083854881880733,0.105591594545696
"9","paroxetine",-0.157746893762934,-0.293672901340095,-0.0218208861857732,0.06935127821191
"10","placebo",0.160996064930354,0.0458668010886817,0.276125328772025,0.05874049969785
"11","reboxetine",-0.227009661454315,-0.597905126294081,0.143885803385452,0.189235857273574
"12","trazodone",0.05205876909806,-0.227995444907988,0.332112983104108,0.142887428654343
"13","venlafaxine",-0.136262376777151,-0.342389408640923,0.0698646550866202,0.105168785492833
"14","vortioxetine",-0.14524364712597,-0.306302459238975,0.0158151649870347,0.0821743732963544
