"","Group.1","TE","LCI","UCI","seTE"
"1","agomelatine",-0.04954051035258,-0.197222288988887,0.0981412682837267,0.0753492308028116
"2","amitriptyline",-0.080202977386078,-0.774897814749252,0.614491859977096,0.354442654478775
"3","bupropion",-0.164810276026038,-0.361390875109272,0.0317703230571952,0.100298067022576
"4","citalopram",-0.233877172200783,-0.426615217637605,-0.0411391267639606,0.0983375444432221
"5","desipramine",-0.148902424918971,-0.51320661280332,0.215401762965379,0.185872899072603
"6","duloxetine",-0.384808561547702,-0.486233132925669,-0.283383990169735,0.0517481811798539
"7","escitalopram",-0.27223548590037,-0.546139472949559,0.00166850114881981,0.139749500097813
"8","fluoxetine",-0.299277331231805,-0.496536114121056,-0.102018548342554,0.100644085526675
"9","paroxetine",-0.305604918537453,-0.419185031794741,-0.192024805280164,0.0579501022228949
"10","placebo",0,0,0,0
"11","reboxetine",-0.388005726384671,-0.755180939302034,-0.0208305134673083,0.187337734679614
"12","venlafaxine",-0.318558699444221,-0.515764669922057,-0.121352728966384,0.100617139923678
"13","vortioxetine",-0.276051267106856,-0.418584422894188,-0.133518111319523,0.0727223341406352
